Time,state,curr_node,dest_node,remaining_TOF,resources,capacity,buy_prem,sell_prem
67380,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
67440,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
67500,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
67560,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
67620,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
67680,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
67740,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
67800,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
67860,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
67920,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
67980,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
68040,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
68100,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
68160,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
68220,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
68280,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
68340,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
68400,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
68460,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
68520,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
68580,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
68640,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
68700,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
68760,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
68820,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
68880,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
68940,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
69000,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
69060,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
69120,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
69180,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
69240,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
